name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
alpha[1],-0.64,0.018,0.74,-1.9,-0.65,0.59,1713.0,11.0,1.0
alpha[2],-1.4,0.027,0.82,-2.7,-1.3,-0.043,951.0,6.1,1.0
alpha[3],-1.1,0.02,0.75,-2.4,-1.1,0.1,1453.0,9.3,1.0
alpha[4],-1.0,0.021,0.78,-2.3,-1.0,0.27,1398.0,8.9,1.0
"beta[1,1]",0.075,0.0033,0.15,-0.18,0.072,0.33,2175.0,14.0,1.0
"beta[1,2]",0.072,0.0054,0.14,-0.16,0.068,0.3,703.0,4.5,1.0
"beta[1,3]",-0.53,0.013,0.15,-0.77,-0.53,-0.3,123.0,0.78,1.0
"beta[1,4]",0.023,0.017,0.17,-0.24,0.021,0.31,101.0,0.65,1.0
"beta[1,5]",0.5,0.007,0.16,0.25,0.5,0.76,507.0,3.2,1.0
"beta[1,6]",1.7,0.0054,0.32,1.2,1.7,2.2,3472.0,22.0,1.0
"beta[1,7]",1.5,0.023,0.41,0.85,1.4,2.2,328.0,2.1,1.0
"beta[1,8]",0.98,0.017,0.29,0.54,0.98,1.5,272.0,1.7,1.0
"beta[1,9]",-0.12,0.022,0.64,-1.2,-0.14,0.94,871.0,5.6,1.0
"beta[1,10]",-0.51,0.036,0.68,-1.6,-0.49,0.58,359.0,2.3,1.0
"beta[1,11]",0.54,0.023,0.69,-0.65,0.58,1.7,918.0,5.9,1.0
"beta[1,12]",-1.5,0.021,0.62,-2.5,-1.5,-0.48,918.0,5.9,1.0
"beta[1,13]",0.94,0.017,0.59,-0.041,0.97,1.9,1170.0,7.5,1.0
"beta[1,14]",-0.25,0.015,0.67,-1.3,-0.24,0.88,2078.0,13.0,1.0
"beta[2,1]",0.37,0.02,0.32,-0.041,0.34,0.95,262.0,1.7,1.0
"beta[2,2]",0.35,0.052,0.32,-0.065,0.28,1.1,39.0,0.25,1.1
"beta[2,3]",-0.18,0.022,0.37,-0.66,-0.27,0.57,285.0,1.8,1.0
"beta[2,4]",-0.28,0.0071,0.28,-0.76,-0.28,0.17,1608.0,10.0,1.0
"beta[2,5]",0.5,0.0048,0.27,0.071,0.51,0.98,3272.0,21.0,1.0
"beta[2,6]",1.3,0.029,0.48,0.47,1.4,2.1,267.0,1.7,1.0
"beta[2,7]",0.92,0.01,0.56,-0.0066,0.93,1.8,2945.0,19.0,1.0
"beta[2,8]",0.64,0.045,0.54,-0.24,0.68,1.5,142.0,0.9,1.0
"beta[2,9]",-0.78,0.022,0.72,-2.0,-0.69,0.35,1114.0,7.1,1.0
"beta[2,10]",-0.45,0.035,0.73,-1.6,-0.44,0.75,441.0,2.8,1.0
"beta[2,11]",0.44,0.051,0.87,-0.98,0.44,1.8,291.0,1.9,1.0
"beta[2,12]",-2.0,0.019,0.75,-3.3,-2.0,-0.87,1601.0,10.0,1.0
"beta[2,13]",0.93,0.017,0.64,-0.15,0.98,2.0,1358.0,8.7,1.0
"beta[2,14]",-0.24,0.019,0.83,-1.6,-0.22,1.1,1907.0,12.0,1.0
"beta[3,1]",0.3,0.0089,0.22,-0.056,0.31,0.67,632.0,4.0,1.0
"beta[3,2]",0.083,0.016,0.17,-0.18,0.089,0.35,116.0,0.74,1.0
"beta[3,3]",-0.42,0.013,0.2,-0.72,-0.43,-0.066,232.0,1.5,1.0
"beta[3,4]",-0.32,0.0061,0.24,-0.73,-0.29,0.061,1586.0,10.0,1.0
"beta[3,5]",0.43,0.009,0.2,0.097,0.43,0.75,515.0,3.3,1.0
"beta[3,6]",1.4,0.019,0.41,0.69,1.4,2.0,492.0,3.1,1.0
"beta[3,7]",0.68,0.037,0.51,-0.17,0.7,1.5,185.0,1.2,1.0
"beta[3,8]",0.65,0.04,0.43,-0.023,0.68,1.3,116.0,0.74,1.0
"beta[3,9]",-0.48,0.028,0.67,-1.6,-0.47,0.6,567.0,3.6,1.0
