name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
alpha_mu,-0.91,0.018,0.68,-2.0,-0.89,0.2,1500.0,8.9,1.0
alpha_sigma,0.61,0.011,0.42,0.081,0.53,1.4,1400.0,8.6,1.0
beta_mu[1],0.19,0.006,0.26,-0.24,0.2,0.6,1903.0,12.0,1.0
beta_mu[2],0.15,0.013,0.22,-0.18,0.15,0.48,314.0,1.9,1.0
beta_mu[3],-0.4,0.0088,0.26,-0.78,-0.4,0.019,850.0,5.2,1.0
beta_mu[4],-0.24,0.025,0.3,-0.78,-0.21,0.18,147.0,0.9,1.0
beta_mu[5],0.41,0.01,0.24,-0.0095,0.42,0.75,549.0,3.3,1.0
beta_mu[6],1.4,0.016,0.42,0.68,1.5,2.0,674.0,4.1,1.0
beta_mu[7],0.89,0.0075,0.43,0.13,0.92,1.6,3299.0,20.0,1.0
beta_mu[8],0.63,0.037,0.43,-0.11,0.67,1.3,134.0,0.81,1.0
beta_mu[9],-0.34,0.017,0.59,-1.3,-0.35,0.63,1171.0,7.1,1.0
beta_mu[10],-0.35,0.05,0.65,-1.4,-0.34,0.69,167.0,1.0,1.0
beta_mu[11],-0.33,0.021,0.66,-1.4,-0.36,0.72,966.0,5.9,1.0
beta_mu[12],-1.6,0.016,0.61,-2.5,-1.6,-0.53,1529.0,9.3,1.0
beta_mu[13],0.9,0.016,0.57,-0.078,0.93,1.8,1308.0,8.0,1.0
beta_mu[14],-0.34,0.018,0.64,-1.4,-0.35,0.73,1219.0,7.4,1.0
beta_sigma[1],0.38,0.0059,0.29,0.042,0.31,0.96,2507.0,15.0,1.0
beta_sigma[2],0.31,0.017,0.27,0.029,0.23,0.83,247.0,1.5,1.0
beta_sigma[3],0.38,0.008,0.31,0.031,0.31,0.97,1523.0,9.3,1.0
beta_sigma[4],0.4,0.015,0.3,0.056,0.32,0.98,391.0,2.4,1.0
beta_sigma[5],0.29,0.019,0.29,0.012,0.21,0.85,226.0,1.4,1.0
beta_sigma[6],0.48,0.024,0.39,0.021,0.4,1.2,269.0,1.6,1.0
beta_sigma[7],0.65,0.011,0.41,0.11,0.58,1.5,1359.0,8.3,1.0
beta_sigma[8],0.54,0.013,0.38,0.069,0.47,1.3,830.0,5.1,1.0
beta_sigma[9],0.61,0.014,0.41,0.09,0.53,1.4,800.0,4.9,1.0
beta_sigma[10],0.48,0.023,0.4,0.042,0.38,1.3,308.0,1.9,1.0
beta_sigma[11],1.2,0.048,0.52,0.48,1.1,2.2,120.0,0.73,1.0
beta_sigma[12],0.55,0.015,0.44,0.074,0.43,1.4,803.0,4.9,1.0
beta_sigma[13],0.38,0.015,0.32,0.043,0.29,1.0,455.0,2.8,1.0
beta_sigma[14],0.58,0.0089,0.41,0.079,0.51,1.4,2118.0,13.0,1.0
alpha[1],-0.64,0.018,0.74,-1.9,-0.65,0.59,1713.0,10.0,1.0
alpha[2],-1.4,0.027,0.82,-2.7,-1.3,-0.043,951.0,5.8,1.0
alpha[3],-1.1,0.02,0.75,-2.4,-1.1,0.1,1453.0,8.8,1.0
alpha[4],-1.0,0.021,0.78,-2.3,-1.0,0.27,1398.0,8.5,1.0
"beta[1,1]",0.075,0.0033,0.15,-0.18,0.072,0.33,2175.0,13.0,1.0
"beta[1,2]",0.072,0.0054,0.14,-0.16,0.068,0.3,703.0,4.3,1.0
"beta[1,3]",-0.53,0.013,0.15,-0.77,-0.53,-0.3,123.0,0.75,1.0
"beta[1,4]",0.023,0.017,0.17,-0.24,0.021,0.31,101.0,0.62,1.0
"beta[1,5]",0.5,0.007,0.16,0.25,0.5,0.76,507.0,3.1,1.0
"beta[1,6]",1.7,0.0054,0.32,1.2,1.7,2.2,3472.0,21.0,1.0
"beta[1,7]",1.5,0.023,0.41,0.85,1.4,2.2,328.0,2.0,1.0
"beta[1,8]",0.98,0.017,0.29,0.54,0.98,1.5,272.0,1.7,1.0
"beta[1,9]",-0.12,0.022,0.64,-1.2,-0.14,0.94,871.0,5.3,1.0
"beta[1,10]",-0.51,0.036,0.68,-1.6,-0.49,0.58,359.0,2.2,1.0
"beta[1,11]",0.54,0.023,0.69,-0.65,0.58,1.7,918.0,5.6,1.0
"beta[1,12]",-1.5,0.021,0.62,-2.5,-1.5,-0.48,918.0,5.6,1.0
"beta[1,13]",0.94,0.017,0.59,-0.041,0.97,1.9,1170.0,7.1,1.0
"beta[1,14]",-0.25,0.015,0.67,-1.3,-0.24,0.88,2078.0,13.0,1.0
"beta[2,1]",0.37,0.02,0.32,-0.041,0.34,0.95,262.0,1.6,1.0
"beta[2,2]",0.35,0.052,0.32,-0.065,0.28,1.1,39.0,0.24,1.1
"beta[2,3]",-0.18,0.022,0.37,-0.66,-0.27,0.57,285.0,1.7,1.0
"beta[2,4]",-0.28,0.0071,0.28,-0.76,-0.28,0.17,1608.0,9.8,1.0
"beta[2,5]",0.5,0.0048,0.27,0.071,0.51,0.98,3272.0,20.0,1.0
"beta[2,6]",1.3,0.029,0.48,0.47,1.4,2.1,267.0,1.6,1.0
"beta[2,7]",0.92,0.01,0.56,-0.0066,0.93,1.8,2945.0,18.0,1.0
"beta[2,8]",0.64,0.045,0.54,-0.24,0.68,1.5,142.0,0.86,1.0
"beta[2,9]",-0.78,0.022,0.72,-2.0,-0.69,0.35,1114.0,6.8,1.0
"beta[2,10]",-0.45,0.035,0.73,-1.6,-0.44,0.75,441.0,2.7,1.0
"beta[2,11]",0.44,0.051,0.87,-0.98,0.44,1.8,291.0,1.8,1.0
"beta[2,12]",-2.0,0.019,0.75,-3.3,-2.0,-0.87,1601.0,9.8,1.0
"beta[2,13]",0.93,0.017,0.64,-0.15,0.98,2.0,1358.0,8.3,1.0
"beta[2,14]",-0.24,0.019,0.83,-1.6,-0.22,1.1,1907.0,12.0,1.0
"beta[3,1]",0.3,0.0089,0.22,-0.056,0.31,0.67,632.0,3.9,1.0
"beta[3,2]",0.083,0.016,0.17,-0.18,0.089,0.35,116.0,0.71,1.0
"beta[3,3]",-0.42,0.013,0.2,-0.72,-0.43,-0.066,232.0,1.4,1.0
"beta[3,4]",-0.32,0.0061,0.24,-0.73,-0.29,0.061,1586.0,9.7,1.0
"beta[3,5]",0.43,0.009,0.2,0.097,0.43,0.75,515.0,3.1,1.0
"beta[3,6]",1.4,0.019,0.41,0.69,1.4,2.0,492.0,3.0,1.0
"beta[3,7]",0.68,0.037,0.51,-0.17,0.7,1.5,185.0,1.1,1.0
"beta[3,8]",0.65,0.04,0.43,-0.023,0.68,1.3,116.0,0.71,1.0
"beta[3,9]",-0.48,0.028,0.67,-1.6,-0.47,0.6,567.0,3.5,1.0
"beta[3,10]",-0.23,0.055,0.72,-1.3,-0.24,0.97,170.0,1.0,1.0
"beta[3,11]",-1.3,0.068,0.79,-2.6,-1.3,0.035,138.0,0.84,1.0
"beta[3,12]",-1.8,0.017,0.66,-2.9,-1.8,-0.76,1474.0,9.0,1.0
"beta[3,13]",0.96,0.015,0.6,-0.068,0.98,2.0,1552.0,9.5,1.0
"beta[3,14]",-0.35,0.032,0.76,-1.6,-0.32,0.83,578.0,3.5,1.0
"beta[4,1]",0.0083,0.038,0.34,-0.61,0.034,0.57,84.0,0.51,1.0
"beta[4,2]",0.055,0.033,0.28,-0.45,0.082,0.49,71.0,0.43,1.0
"beta[4,3]",-0.55,0.0089,0.34,-1.2,-0.52,-0.064,1432.0,8.7,1.0
"beta[4,4]",-0.3,0.021,0.35,-0.93,-0.26,0.18,263.0,1.6,1.0
"beta[4,5]",0.26,0.02,0.32,-0.34,0.32,0.66,257.0,1.6,1.0
"beta[4,6]",1.6,0.011,0.51,0.8,1.6,2.5,2217.0,14.0,1.0
"beta[4,7]",0.9,0.017,0.56,-0.032,0.9,1.8,1065.0,6.5,1.0
"beta[4,8]",0.45,0.042,0.68,-0.91,0.56,1.3,266.0,1.6,1.0
"beta[4,9]",-0.17,0.028,0.72,-1.3,-0.19,1.0,666.0,4.1,1.0
"beta[4,10]",-0.32,0.053,0.79,-1.5,-0.33,0.97,220.0,1.3,1.0
"beta[4,11]",-1.5,0.029,0.91,-3.1,-1.5,-0.079,1006.0,6.1,1.0
"beta[4,12]",-1.6,0.019,0.71,-2.7,-1.6,-0.41,1408.0,8.6,1.0
"beta[4,13]",0.98,0.018,0.64,-0.091,1.0,2.1,1343.0,8.2,1.0
"beta[4,14]",-0.61,0.021,0.85,-2.1,-0.6,0.73,1678.0,10.0,1.0
