name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
alpha[1],-0.62,0.028,0.78,-1.8,-0.63,0.67,748.0,2.6,1.0
alpha[2],-1.3,0.03,0.86,-2.7,-1.3,0.1,812.0,2.9,1.0
alpha[3],-1.1,0.031,0.8,-2.4,-1.1,0.18,675.0,2.4,1.0
alpha[4],-0.97,0.038,0.84,-2.3,-0.96,0.33,480.0,1.7,1.0
"beta[1,1]",0.081,0.0055,0.16,-0.19,0.085,0.32,815.0,2.9,1.0
"beta[1,2]",0.072,0.0031,0.14,-0.17,0.074,0.29,1996.0,7.1,1.0
"beta[1,3]",-0.53,0.0038,0.15,-0.78,-0.51,-0.3,1452.0,5.1,1.0
"beta[1,4]",0.028,0.0034,0.16,-0.24,0.026,0.3,2267.0,8.0,1.0
"beta[1,5]",0.5,0.0049,0.16,0.26,0.5,0.77,1014.0,3.6,1.0
"beta[1,6]",1.7,0.01,0.33,1.2,1.7,2.2,1020.0,3.6,1.0
"beta[1,7]",1.5,0.02,0.42,0.8,1.4,2.2,434.0,1.5,1.0
"beta[1,8]",1.0,0.0075,0.29,0.54,1.0,1.5,1490.0,5.3,1.0
"beta[1,9]",-0.11,0.026,0.67,-1.3,-0.099,0.94,664.0,2.3,1.0
"beta[1,10]",-0.48,0.019,0.66,-1.6,-0.44,0.6,1174.0,4.2,1.0
"beta[1,11]",0.51,0.028,0.73,-0.7,0.53,1.7,677.0,2.4,1.0
"beta[1,12]",-1.5,0.017,0.62,-2.5,-1.5,-0.47,1356.0,4.8,1.0
"beta[1,13]",0.91,0.025,0.62,-0.16,0.95,1.9,626.0,2.2,1.0
"beta[1,14]",-0.23,0.049,0.76,-1.4,-0.24,1.1,236.0,0.84,1.0
"beta[2,1]",0.4,0.015,0.32,-0.033,0.35,0.97,451.0,1.6,1.0
"beta[2,2]",0.29,0.0059,0.26,-0.058,0.24,0.79,1998.0,7.1,1.0
"beta[2,3]",-0.18,0.014,0.38,-0.66,-0.26,0.53,749.0,2.7,1.0
"beta[2,4]",-0.24,0.0086,0.28,-0.73,-0.22,0.16,1044.0,3.7,1.0
"beta[2,5]",0.49,0.017,0.3,-0.038,0.48,1.0,330.0,1.2,1.0
"beta[2,6]",1.3,0.01,0.45,0.57,1.4,2.0,1884.0,6.7,1.0
"beta[2,7]",0.96,0.029,0.61,-0.063,0.95,1.9,445.0,1.6,1.0
"beta[2,8]",0.73,0.014,0.5,-0.16,0.77,1.5,1226.0,4.3,1.0
"beta[2,9]",-0.86,0.038,0.8,-2.2,-0.79,0.38,435.0,1.5,1.0
"beta[2,10]",-0.43,0.023,0.73,-1.6,-0.39,0.74,1036.0,3.7,1.0
"beta[2,11]",0.35,0.038,0.89,-1.1,0.32,1.8,543.0,1.9,1.0
"beta[2,12]",-2.0,0.024,0.77,-3.3,-2.0,-0.86,1029.0,3.6,1.0
"beta[2,13]",0.89,0.025,0.69,-0.32,0.91,2.0,771.0,2.7,1.0
"beta[2,14]",-0.23,0.036,0.88,-1.6,-0.24,1.2,593.0,2.1,1.0
"beta[3,1]",0.3,0.013,0.24,-0.053,0.29,0.74,339.0,1.2,1.0
"beta[3,2]",0.095,0.0044,0.17,-0.19,0.1,0.35,1448.0,5.1,1.0
"beta[3,3]",-0.41,0.0067,0.2,-0.74,-0.42,-0.089,909.0,3.2,1.0
"beta[3,4]",-0.32,0.0096,0.25,-0.74,-0.3,0.058,667.0,2.4,1.0
"beta[3,5]",0.43,0.0057,0.2,0.093,0.43,0.78,1239.0,4.4,1.0
"beta[3,6]",1.4,0.008,0.4,0.69,1.4,2.0,2421.0,8.6,1.0
"beta[3,7]",0.6,0.016,0.49,-0.25,0.63,1.4,882.0,3.1,1.0
"beta[3,8]",0.68,0.014,0.4,-0.015,0.72,1.3,875.0,3.1,1.0
"beta[3,9]",-0.47,0.019,0.66,-1.6,-0.44,0.62,1263.0,4.5,1.0
"beta[3,10]",-0.2,0.017,0.68,-1.3,-0.21,0.99,1597.0,5.7,1.0
"beta[3,11]",-1.2,0.018,0.77,-2.5,-1.1,0.045,1887.0,6.7,1.0
"beta[3,12]",-1.8,0.019,0.67,-2.9,-1.8,-0.73,1239.0,4.4,1.0
"beta[3,13]",0.94,0.02,0.63,-0.11,0.96,2.0,1025.0,3.6,1.0
"beta[3,14]",-0.37,0.029,0.76,-1.6,-0.36,0.83,703.0,2.5,1.0
"beta[4,1]",-0.0031,0.0093,0.31,-0.58,0.038,0.45,1143.0,4.0,1.0
"beta[4,2]",0.078,0.0046,0.25,-0.38,0.1,0.46,3041.0,11.0,1.0
"beta[4,3]",-0.59,0.018,0.37,-1.3,-0.54,-0.076,422.0,1.5,1.0
"beta[4,4]",-0.27,0.014,0.33,-0.87,-0.24,0.26,550.0,1.9,1.0
"beta[4,5]",0.25,0.011,0.32,-0.35,0.3,0.69,849.0,3.0,1.0
"beta[4,6]",1.6,0.018,0.52,0.82,1.6,2.4,828.0,2.9,1.0
"beta[4,7]",0.9,0.024,0.57,-0.038,0.91,1.8,566.0,2.0,1.0
"beta[4,8]",0.54,0.015,0.64,-0.7,0.63,1.4,1912.0,6.8,1.0
"beta[4,9]",-0.099,0.031,0.76,-1.3,-0.14,1.1,611.0,2.2,1.0
"beta[4,10]",-0.26,0.018,0.75,-1.4,-0.28,0.99,1739.0,6.2,1.0
"beta[4,11]",-1.5,0.038,0.95,-3.1,-1.5,-0.013,619.0,2.2,1.0
"beta[4,12]",-1.6,0.025,0.73,-2.8,-1.6,-0.4,845.0,3.0,1.0
"beta[4,13]",0.94,0.022,0.68,-0.18,0.93,2.1,956.0,3.4,1.0
"beta[4,14]",-0.61,0.038,0.89,-2.1,-0.54,0.71,554.0,2.0,1.0
