# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = hierarchical_v5_model
# start_datetime = 2021-11-19 20:54:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/d5xeld7y.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/hierarchical_v5-202111192254-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_mu,alpha_sigma,beta_mu.1,beta_mu.2,beta_mu.3,beta_mu.4,beta_mu.5,beta_mu.6,beta_mu.7,beta_mu.8,beta_mu.9,beta_mu.10,beta_mu.11,beta_mu.12,beta_mu.13,beta_mu.14,beta_sigma.1,beta_sigma.2,beta_sigma.3,beta_sigma.4,beta_sigma.5,beta_sigma.6,beta_sigma.7,beta_sigma.8,beta_sigma.9,beta_sigma.10,beta_sigma.11,beta_sigma.12,beta_sigma.13,beta_sigma.14,alpha.1,alpha.2,alpha.3,alpha.4,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14
# Adaptation terminated
# Step size = 0.0311956
# Diagonal elements of inverse mass matrix:
# 0.561205, 0.546166, 0.0591219, 0.0456937, 0.0776804, 0.065082, 0.0498375, 0.149734, 0.175114, 0.164745, 0.385285, 0.304525, 0.494358, 0.298692, 0.31513, 0.306863, 0.770319, 1.19721, 0.80138, 0.568083, 0.833782, 1.09969, 0.813507, 1.12311, 0.535014, 1.04252, 0.150186, 0.908728, 1.00035, 1.24113, 0.586591, 0.642052, 0.662716, 0.674018, 0.0237711, 0.0175136, 0.0234065, 0.0274232, 0.0238087, 0.0941064, 0.157874, 0.0868923, 0.363218, 0.375071, 0.433206, 0.333906, 0.292247, 0.359156, 0.076986, 0.0751522, 0.147665, 0.078341, 0.0688397, 0.211617, 0.324056, 0.258888, 0.493426, 0.522536, 0.732319, 0.514008, 0.3911, 0.647748, 0.0444299, 0.0249462, 0.0373544, 0.0604884, 0.035641, 0.170115, 0.209424, 0.161086, 0.416749, 0.42405, 0.597968, 0.39435, 0.357188, 0.47951, 0.0819794, 0.0531073, 0.102384, 0.114873, 0.0912402, 0.294494, 0.298591, 0.408231, 0.48267, 0.538509, 0.79446, 0.420299, 0.372923, 0.561658
-286.357,0.905471,0.0311956,7,127,0,333.445,-1.02075,0.184277,0.405676,-0.108869,0.172392,-0.0470972,0.821174,1.74703,0.714082,1.20596,-0.367574,-0.984902,-0.5227,-1.8822,0.62246,-0.496185,0.185387,0.411598,0.500219,0.223533,0.933578,0.529214,0.889741,0.411282,0.143262,0.234612,1.40825,0.149491,0.556204,0.373207,-0.741922,-1.38706,-1.11024,-0.97268,0.255632,0.627414,0.4656,0.368774,-0.199281,0.156885,0.139865,0.0936301,-0.652367,0.235281,-0.00494617,-0.41636,0.384549,-0.221225,-0.313759,0.122002,0.479941,1.54336,0.460906,0.103781,1.72535,1.48755,1.6921,1.41223,1.67617,1.94854,1.16569,0.251739,1.5409,0.878491,0.646599,0.513058,-0.492047,-0.322116,-0.47329,-0.324798,-1.03444,-0.759776,-0.949381,-1.25924,0.261703,0.347412,-1.40751,-1.87747,-1.96756,-2.17914,-2.02431,-1.94294,1.38441,0.105997,0.785005,1.80026,-0.0464789,0.301205,-0.666678,-0.706901
-306.79,0.964804,0.0311956,7,127,0,336.195,-0.913497,0.106206,0.323581,-0.256689,-0.0986105,-0.0059747,0.920021,1.49139,1.06715,1.1319,-0.540374,-0.839456,-1.20977,-2.13744,1.61265,0.172866,0.200103,0.721136,0.790575,0.432908,0.622533,0.281077,0.795886,0.593001,0.0874519,0.782716,0.9174,2.3826,0.843582,0.356459,-0.929401,-0.809766,-0.837032,-1.07591,0.176312,0.300819,0.554089,0.502286,-0.0288453,1.08312,0.153271,-0.00063809,-0.711506,0.102828,-0.0587762,-0.510735,0.213141,-0.170591,-0.184472,-0.140827,0.557512,1.79138,0.057095,0.428527,2.06731,1.28769,1.15777,1.94331,1.26743,1.41285,0.00225376,-0.027229,1.48066,1.6386,0.901938,1.93926,-0.477905,-0.733128,-0.525437,-0.621309,-0.755077,-1.04799,-0.38843,-0.0335217,0.187392,0.30295,-2.18503,-2.38895,-1.1538,-2.76913,-2.27895,-1.47518,0.828394,0.838839,1.07652,0.297056,-0.222594,-0.563194,0.29186,-0.010258
-301.859,0.975305,0.0311956,7,127,0,349.658,-0.353283,0.126655,0.59685,0.250368,-0.288805,0.207985,0.885703,1.62868,0.611541,1.53418,-0.622683,-0.561287,-1.12759,-1.21681,0.811743,-0.0909236,0.340847,0.5421,0.209672,0.570902,1.65051,0.923596,0.821995,0.500726,0.0782255,0.503155,0.997093,0.286384,0.807776,0.46685,-0.396561,-0.266062,-0.456152,-0.491937,0.335549,0.174494,0.711448,0.767239,-0.22533,0.995992,0.135499,0.345636,-0.56863,0.018727,-0.385652,-0.431681,0.326156,0.210195,-0.163225,0.153698,0.634362,1.7476,0.272548,0.331864,1.53853,0.848603,1.38136,1.83655,1.40841,1.37385,-0.402335,0.293288,1.4146,1.23776,0.516683,1.53275,-0.721448,-0.631033,-0.664231,-0.689762,-1.49959,-0.854729,0.229612,-0.640168,0.00698511,-0.211865,-1.21862,-2.21521,-1.48779,-1.71447,-2.15935,-1.69219,1.45682,-0.143256,0.869454,0.65675,-0.323259,0.506679,-0.0611922,-0.256368
-282.966,0.983159,0.0311956,7,127,0,341.39,-0.422413,0.133428,0.169692,-0.0343207,-0.45649,-0.456528,0.322097,1.02402,0.301064,1.0516,-0.572122,-0.867354,-0.320188,-2.40406,1.23083,-0.725291,0.29348,0.210383,0.523076,0.252795,1.38649,1.22311,0.648251,0.397592,0.0519222,0.215453,1.30923,0.669835,1.15799,0.233734,-0.274452,-0.429273,-0.433893,-0.363575,-0.16985,0.594878,0.299543,-0.0245011,0.0268188,0.240644,-0.0675095,-0.316759,-0.608213,0.0575029,-0.289789,-0.124072,-0.18478,-0.598328,-0.1882,-0.197675,0.61802,1.20718,0.454575,-0.194949,1.87846,0.848496,1.61493,1.73244,1.60673,0.032891,0.745831,-0.0430433,1.2698,1.03668,1.37718,0.462243,-0.52566,-0.636365,-0.58729,-0.545471,-0.720627,-1.17391,-1.07055,-1.04359,-0.392098,0.157947,-2.1345,-2.25081,-1.76522,-1.5732,-2.50248,-1.31694,0.949095,0.962726,0.413255,0.986007,-0.852819,-0.608415,-0.759138,-1.03941
-291.415,0.789655,0.0311956,7,127,0,327.844,-0.733352,0.0295295,0.0117614,0.61412,-0.416136,-0.266094,0.690106,-0.28853,-0.130361,-0.137176,0.0888662,-0.00292081,-0.417268,-0.780875,1.13466,-0.554664,0.215234,0.27157,0.6253,0.453518,0.177606,1.39361,0.711535,0.533385,0.105989,0.41753,0.983878,1.23218,1.09093,0.407585,-0.72507,-0.716277,-0.743607,-0.748492,0.16997,0.0892227,-0.0288367,-0.30531,0.0227044,0.642271,0.392962,0.825676,-0.499311,-0.538451,-0.864193,-1.02849,0.270811,-0.242576,-0.532633,-0.632042,0.637202,0.412396,0.669296,0.913606,2.22786,1.41748,0.279818,2.41873,1.20346,-0.127349,-0.328836,0.687812,0.609497,-0.272691,-0.0849663,0.177829,0.0890283,0.00392043,0.0123952,0.138977,-0.0273316,-0.394773,0.122131,0.00113621,0.107019,1.1666,-0.957057,-1.93712,-1.79804,-2.97182,-0.825296,-1.15405,0.975922,0.550359,1.90264,-0.18249,-0.276975,-0.259398,-0.65124,-1.04586
-273.874,0.518344,0.0311956,7,127,0,326.858,-0.913807,0.0301434,-0.0970037,0.389155,-0.812113,-0.483107,0.497954,0.44195,0.922269,0.603781,-0.118261,0.296973,-0.229797,-2.39176,0.571563,-0.870293,0.438487,0.359162,0.178196,0.562113,0.205807,1.12542,0.502652,0.235101,0.52583,0.0978979,1.36562,0.540039,0.603032,0.594878,-0.925486,-0.919399,-0.936354,-0.935739,0.132101,0.320683,0.171838,-0.130709,0.249731,0.986303,0.316874,0.269372,-0.799849,-0.635983,-0.61972,-0.711969,0.111861,-0.0820149,-0.435825,-0.967282,0.62984,0.814993,0.630498,-0.0259613,1.58937,1.78418,0.635953,2.51732,1.20446,0.402703,0.828299,0.890413,0.911605,0.388027,0.511766,0.437774,0.183035,-0.00427386,-0.138048,-0.43088,0.346606,0.2027,0.330906,0.215438,1.50872,0.627478,-0.837107,-1.73693,-1.66689,-3.23613,-1.90398,-2.54204,1.19134,0.0523548,1.32654,1.15972,-0.719496,-1.33392,-0.313262,-0.459439
