# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = hierarchical_v5_model
# start_datetime = 2021-11-19 20:54:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/d5xeld7y.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/hierarchical_v5-202111192254-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha_mu,alpha_sigma,beta_mu.1,beta_mu.2,beta_mu.3,beta_mu.4,beta_mu.5,beta_mu.6,beta_mu.7,beta_mu.8,beta_mu.9,beta_mu.10,beta_mu.11,beta_mu.12,beta_mu.13,beta_mu.14,beta_sigma.1,beta_sigma.2,beta_sigma.3,beta_sigma.4,beta_sigma.5,beta_sigma.6,beta_sigma.7,beta_sigma.8,beta_sigma.9,beta_sigma.10,beta_sigma.11,beta_sigma.12,beta_sigma.13,beta_sigma.14,alpha.1,alpha.2,alpha.3,alpha.4,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.1.5,beta.2.5,beta.3.5,beta.4.5,beta.1.6,beta.2.6,beta.3.6,beta.4.6,beta.1.7,beta.2.7,beta.3.7,beta.4.7,beta.1.8,beta.2.8,beta.3.8,beta.4.8,beta.1.9,beta.2.9,beta.3.9,beta.4.9,beta.1.10,beta.2.10,beta.3.10,beta.4.10,beta.1.11,beta.2.11,beta.3.11,beta.4.11,beta.1.12,beta.2.12,beta.3.12,beta.4.12,beta.1.13,beta.2.13,beta.3.13,beta.4.13,beta.1.14,beta.2.14,beta.3.14,beta.4.14
# Adaptation terminated
# Step size = 0.0455854
# Diagonal elements of inverse mass matrix:
# 0.459147, 0.596427, 0.0772521, 0.0420408, 0.0713889, 0.0949781, 0.0592562, 0.160215, 0.240218, 0.137249, 0.358169, 0.361966, 0.465596, 0.442261, 0.385216, 0.442179, 0.711826, 0.900197, 1.05653, 0.681504, 0.985556, 1.5415, 0.541838, 0.87765, 0.699401, 0.584839, 0.323979, 0.812908, 0.913291, 0.692255, 0.580001, 0.809844, 0.652701, 0.633302, 0.0275643, 0.018637, 0.0233822, 0.0276545, 0.0249958, 0.102392, 0.152467, 0.0891412, 0.417727, 0.458934, 0.528714, 0.3865, 0.376845, 0.519443, 0.100736, 0.0625329, 0.151997, 0.0888301, 0.0884602, 0.189661, 0.318602, 0.274985, 0.57944, 0.554588, 0.688965, 0.617934, 0.459358, 0.689482, 0.0553736, 0.0238563, 0.0339513, 0.0570336, 0.0377317, 0.14435, 0.219921, 0.153023, 0.430323, 0.476866, 0.527938, 0.518308, 0.433274, 0.582168, 0.098209, 0.0689708, 0.121742, 0.115524, 0.106217, 0.26733, 0.313207, 0.313627, 0.594142, 0.565831, 0.996, 0.504207, 0.426477, 0.743002
-276.862,0.835368,0.0455854,6,95,0,334.48,-0.577378,0.266258,0.28611,0.373827,-0.200585,-0.269133,0.0681799,0.704646,0.978003,0.678415,-0.515293,0.323517,-0.562284,-1.8406,0.724251,-0.152958,0.452607,0.240728,0.384639,0.259516,0.576249,0.412561,0.372898,0.384217,1.68948,0.286448,2.27476,0.119455,0.158232,0.545562,-0.814033,-0.688602,-0.513567,-0.455454,0.0312078,0.361891,0.744607,0.0943559,0.0687939,0.606657,-0.0130064,0.387214,-0.363658,0.0343691,-0.251355,-0.490349,0.096218,-0.310343,-0.229104,-0.054853,0.18886,-0.0287389,0.472617,0.22402,1.06859,1.00263,0.987479,0.387932,1.56326,0.848516,0.856775,0.755488,0.748004,0.930647,0.421803,0.78598,0.917898,-1.25039,-0.177351,0.76885,0.609348,-0.0413358,0.519965,0.430529,1.17188,-0.333418,-1.74655,-1.23625,-1.84227,-2.12166,-1.95983,-1.85377,0.872988,1.04283,0.521612,0.607455,0.0152256,-0.554219,-0.268304,-0.494012
-284.703,0.969537,0.0455854,7,127,0,323.942,-0.861391,0.337806,0.134458,-0.333487,-0.582802,-0.0501008,1.0464,1.72356,0.995071,1.30892,-0.350164,-0.531061,0.427693,-1.89427,0.54856,-1.38975,0.601768,0.35637,0.126335,0.0937176,0.910384,0.246154,0.0598266,0.695748,0.261167,0.28565,0.756693,1.17313,0.321623,0.867792,-0.535419,-0.715213,-1.12762,-0.913563,-0.200174,0.266276,0.210713,0.246598,-0.147541,-0.0532798,0.0533849,-0.389714,-0.62788,-0.493092,-0.671849,-0.678614,-0.183698,-0.00694583,-0.0722033,-0.161285,0.587912,1.9756,0.315729,-0.388178,1.96743,1.67231,1.22601,1.79583,1.02119,0.97676,0.890025,0.935851,1.32605,1.3151,0.425282,1.18838,-0.230421,-0.755466,-0.0531374,-0.243277,-1.02126,-0.881653,0.0764179,-0.444883,0.55648,1.32847,-0.462305,-0.973414,-1.91494,-2.2244,-3.23931,-1.37047,0.479658,0.461187,0.693038,0.47439,-0.988733,-0.519975,-1.66178,-1.21089
-282.458,0.944156,0.0455854,7,127,0,328.874,-1.22568,0.788455,0.513603,0.664197,-0.297832,-0.234653,0.238406,1.59246,0.825342,0.38967,0.545321,0.570657,-0.26118,-1.69757,0.347088,-0.133414,0.548914,0.593154,0.193041,0.27901,0.373053,0.957433,0.0559949,0.394644,1.49929,0.0863883,1.406,0.473675,0.457867,0.758853,-1.22811,-1.49487,-0.530863,-1.27061,0.158087,0.260397,0.933988,-0.0207489,0.199886,0.823842,0.113066,0.695875,-0.432352,-0.0726082,-0.253716,-0.406767,0.0872987,-0.319126,-0.350238,-0.204983,0.352703,0.475457,0.571662,-0.0338786,1.529,1.66929,0.772527,2.14319,0.815046,0.867869,0.924621,0.855679,0.583951,0.259939,0.948833,0.569038,1.41945,-0.18834,-0.21428,0.46493,0.5757,0.534928,0.529045,0.527759,2.46209,0.982409,-2.08068,-1.83644,-2.04642,-2.77936,-2.32865,-2.05364,0.331484,0.324905,0.662784,0.0416961,-0.196137,0.742207,-0.828125,0.49447
-271.999,0.92515,0.0455854,6,63,0,325.151,-1.15178,0.775944,0.493009,0.243983,-0.175131,-0.189061,0.446701,1.20683,0.805668,0.706027,0.266628,0.0341734,-0.290589,-2.0624,0.783879,0.335616,0.45505,0.270131,0.569979,0.0994108,0.151101,0.182564,0.0946253,0.352129,0.399564,0.0741035,1.32841,0.642297,0.481222,1.04542,-0.257363,-2.59778,-2.18741,-1.81682,0.14602,0.295097,0.568095,-0.0470388,0.303531,0.741862,-0.134737,0.350768,-0.701695,0.372644,-0.0864036,-0.388811,-0.151133,-0.204024,-0.157405,-0.23459,0.239824,0.530793,0.479182,0.348782,1.44103,1.57956,1.59158,1.34892,0.870689,0.792565,0.695723,0.811218,0.930879,0.83937,0.624454,0.497586,0.246597,-0.0351947,0.203682,0.934589,0.0285775,0.0601902,0.0404036,0.112141,0.72019,1.16989,-0.858116,0.26932,-1.81282,-1.65191,-1.19263,-1.54879,0.455225,1.39539,1.22402,0.63745,-0.281094,1.23183,-0.764905,-0.683159
-278.686,0.61373,0.0455854,5,39,0,317.257,-1.45504,0.866627,0.498108,0.193144,-0.103842,-0.22481,0.528014,1.55521,0.820325,0.501295,0.193596,0.00726798,-0.600766,-2.25128,0.895565,-0.00734787,0.377507,0.204046,0.606441,0.12096,0.145458,0.218447,0.0735544,0.573738,0.366279,0.0542442,1.41671,0.934617,0.536264,0.885863,-0.177799,-2.72765,-1.84378,-1.91711,0.0560272,0.254438,0.615847,-0.0234434,0.308998,0.636714,-0.189706,0.311017,-0.647734,0.305515,-0.0494164,-0.430129,-0.125271,-0.188403,-0.205061,-0.305508,0.383409,0.451256,0.565931,0.269643,1.44843,1.45825,1.4368,0.975649,0.776716,0.778893,0.704804,0.905942,0.94973,0.970838,0.616731,0.593367,0.186048,-0.147805,0.00569388,0.883978,0.0417776,0.044582,0.0635698,-0.0293335,0.76979,1.2772,-1.24397,0.795502,-2.12795,-1.60241,-1.54061,-1.40007,0.492958,1.49106,1.34131,0.9022,-0.245269,1.32894,-0.876849,-0.366683
-276.149,0.786516,0.0455854,5,31,0,317.496,-1.53703,1.40108,0.328176,0.171799,0.0444321,-0.236368,0.223714,1.39557,0.781879,0.686661,0.568336,0.171667,-0.459008,-1.3543,0.590236,0.142229,0.38956,0.767987,0.382474,0.114439,0.199767,0.428981,0.0969568,0.384479,0.56617,0.0973075,1.4134,1.04654,0.544119,1.04979,-0.612422,-2.78638,-2.12533,-1.78015,0.104769,0.382258,0.632639,-0.165991,0.167779,0.432911,-0.142073,0.238344,-0.702699,-0.159455,-0.138045,-0.465014,-0.16145,-0.179123,-0.384182,-0.273304,0.434871,0.260873,0.636115,0.366558,1.46714,1.46514,1.71849,1.57271,0.875887,0.654281,0.89633,0.820827,0.77901,0.758029,0.398315,0.429846,0.314601,0.142659,0.066539,0.743124,0.186834,0.196732,0.23321,0.0946283,1.07745,1.00444,-1.42178,0.3993,-1.53331,-1.55777,-1.55765,-1.57893,0.426851,1.32541,1.32262,0.848428,-0.76027,1.00461,-0.683536,-0.837256
