name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta[1],0.16,0.00091,0.12,-0.044,0.15,0.36,17673.0,300.0,1.0
beta[2],0.078,0.00078,0.11,-0.1,0.079,0.26,19832.0,336.0,1.0
beta[3],-0.46,0.00089,0.12,-0.66,-0.46,-0.27,17539.0,297.0,1.0
beta[4],-0.13,0.00096,0.13,-0.34,-0.13,0.075,17054.0,289.0,1.0
beta[5],0.42,0.00091,0.12,0.22,0.41,0.62,18570.0,315.0,1.0
beta[6],1.3,0.0018,0.26,0.89,1.3,1.8,20163.0,342.0,1.0
beta[7],1.1,0.0019,0.26,0.63,1.1,1.5,20100.0,341.0,1.0
beta[8],0.88,0.0018,0.24,0.48,0.88,1.3,17156.0,291.0,1.0
beta[9],-0.37,0.0062,0.54,-1.3,-0.36,0.53,7631.0,129.0,1.0
beta[10],-0.42,0.0064,0.56,-1.3,-0.41,0.5,7708.0,131.0,1.0
beta[11],-0.19,0.0066,0.55,-1.1,-0.19,0.72,7111.0,121.0,1.0
beta[12],-0.83,0.0056,0.52,-1.7,-0.83,0.034,8562.0,145.0,1.0
beta[13],-0.69,0.0056,0.5,-1.5,-0.68,0.15,8142.0,138.0,1.0
beta[14],0.97,0.0056,0.49,0.15,0.97,1.8,7788.0,132.0,1.0
beta[15],-0.44,0.0056,0.55,-1.4,-0.44,0.48,9644.0,163.0,1.0
beta[16],-1.5,0.0058,0.55,-2.4,-1.5,-0.55,9092.0,154.0,1.0
beta[17],0.94,0.0058,0.55,0.043,0.94,1.8,9102.0,154.0,1.0
beta[18],-0.4,0.0059,0.6,-1.4,-0.4,0.59,10351.0,175.0,1.0
alpha,-0.9,0.0,0.7,-2.1,-0.9,0.2,9456.0,160.3,1.0
