# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.11757
# Diagonal elements of inverse mass matrix:
# 0.0136173, 0.0138888, 0.0118749, 0.013463, 0.0126246, 0.0781819, 0.0702101, 0.0615243, 0.246044, 0.26055, 0.274179, 0.261449, 0.237412, 0.233385, 0.286068, 0.347396, 0.353434, 0.388187, 0.484964
-309.878,0.998656,0.11757,5,31,0,315.509,0.210999,0.157814,-0.51583,-0.0155937,0.349315,1.2055,0.676845,1.1239,-0.543263,-0.504965,-0.59981,-2.00568,-1.47277,0.0621613,-0.85222,-0.82049,1.5991,0.0705121,-0.545486
-314.982,0.924955,0.11757,5,31,0,321.592,0.117174,0.0574556,-0.622084,-0.21505,0.641216,1.37673,1.04149,0.978317,-0.308552,-0.808032,-0.134867,-1.39406,-1.67122,-0.241411,-2.15996,-1.36502,1.2094,-0.49156,-0.219886
-313.492,0.934479,0.11757,5,63,0,324.366,0.2732,0.0758569,-0.271163,0.0469949,0.152053,1.20446,1.14292,0.957556,0.122781,0.239161,0.323253,-0.969371,-1.0835,0.77227,-0.265527,-1.31347,1.65736,0.748264,-1.79383
-308.901,0.978171,0.11757,5,31,0,320.543,0.0946562,0.0733983,-0.475787,-0.359119,0.59619,1.52865,1.10659,0.779999,-0.482236,-0.869003,-0.503451,-1.14674,-1.26709,0.251875,-0.654166,-0.90301,1.57768,-0.0801967,-0.852616
-309.677,0.953232,0.11757,5,31,0,316.465,0.0533289,-0.0618972,-0.443232,-0.0826237,0.459419,0.780245,0.989979,0.993077,-0.0192648,-0.26707,0.0508303,-1.34074,-1.36573,0.149509,-1.25701,-1.26827,1.15146,-0.338276,-0.366563
-309.609,0.9307,0.11757,5,63,0,317.349,0.222855,0.193489,-0.407946,-0.289871,0.237308,1.6048,1.1731,0.723726,-0.115011,-0.318551,0.126963,-1.10689,-0.746039,0.963669,-0.102437,-2.41755,-0.067138,-1.22028,-0.43722
