# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = simple_regression_model
# start_datetime = 2021-11-19 20:54:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 4000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/nc/dhtws2m1317bwzbsxq9n3_gc0000gn/T/tmp9myfn_9w/s8i_3cwj.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/leevi/repos/bda-project/inference/simple_regression-202111192254-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,alpha
# Adaptation terminated
# Step size = 0.102854
# Diagonal elements of inverse mass matrix:
# 0.0158563, 0.0111864, 0.0159231, 0.0154743, 0.0152284, 0.0689109, 0.0703263, 0.0530629, 0.31438, 0.333527, 0.318299, 0.278922, 0.242557, 0.242917, 0.325902, 0.325166, 0.295688, 0.348366, 0.58639
-313.585,0.991666,0.102854,6,63,0,324.485,0.247468,0.0132368,-0.445868,-0.241329,0.367717,0.530246,0.75612,1.04636,-0.216573,-0.274695,-0.159728,-0.826728,-0.628006,0.944548,0.276909,-0.169619,2.21523,0.762565,-1.80539
-309.287,0.993002,0.102854,5,31,0,318.349,0.0504144,0.0514702,-0.501969,-0.171371,0.355145,0.897832,0.784904,0.913009,-0.216229,-0.104069,0.0369131,-0.549042,-0.348686,1.07513,-0.194117,-0.0292616,2.1805,1.02303,-2.26007
-306.193,0.934605,0.102854,5,63,0,315.261,0.253677,0.0782301,-0.342874,-0.0914473,0.457294,1.39337,1.32791,1.02199,-0.472556,-0.693209,-0.605564,-0.986292,-0.43998,0.960281,-0.385308,-1.36131,1.06664,-0.536807,-1.01355
-311.652,0.974709,0.102854,5,31,0,314.705,0.0338047,-0.0607479,-0.327728,-0.342779,0.362903,1.26519,0.996513,0.798469,-0.698465,-0.519375,-0.697585,-0.11515,-0.37001,1.1115,0.039189,-0.836659,1.86465,0.445439,-1.57034
-312.236,0.994255,0.102854,5,63,0,318.486,0.0700936,-0.0544003,-0.379287,-0.381305,0.413723,1.23155,0.968134,0.79652,-0.747813,-1.03526,-0.263723,-0.294191,-0.281044,1.0294,-0.219702,-0.22383,1.62427,0.783736,-1.62589
-309.414,0.98808,0.102854,6,63,0,316.183,0.0246488,-0.0633352,-0.452746,-0.354447,0.415438,1.35181,1.00331,0.899599,-0.853031,-0.870386,-0.48093,-0.918825,-0.642336,1.12272,-0.432083,-0.579261,2.01661,0.626658,-1.5777
