name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
alpha_mu,-0.95,0.018,0.71,-2.1,-0.95,0.22,1500.0,0.62,1.0
alpha_sigma,0.59,0.0078,0.43,0.054,0.51,1.4,3100.0,1.3,1.0
beta_mu[1],0.18,0.005,0.28,-0.25,0.18,0.63,3120.0,1.3,1.0
beta_mu[2],0.13,0.0025,0.22,-0.2,0.12,0.48,7448.0,3.1,1.0
beta_mu[3],-0.41,0.0033,0.26,-0.79,-0.43,0.047,6583.0,2.8,1.0
beta_mu[4],-0.2,0.0041,0.28,-0.65,-0.19,0.2,4475.0,1.9,1.0
beta_mu[5],0.4,0.0042,0.25,-0.021,0.41,0.77,3688.0,1.5,1.0
beta_mu[6],1.4,0.0061,0.41,0.68,1.4,2.0,4524.0,1.9,1.0
beta_mu[7],0.88,0.0066,0.46,0.074,0.91,1.6,4745.0,2.0,1.0
beta_mu[8],0.65,0.008,0.43,-0.15,0.69,1.3,2958.0,1.2,1.0
beta_mu[9],-0.33,0.015,0.62,-1.3,-0.33,0.68,1631.0,0.68,1.0
beta_mu[10],-0.3,0.016,0.63,-1.3,-0.3,0.74,1562.0,0.65,1.0
beta_mu[11],-0.33,0.014,0.68,-1.5,-0.33,0.78,2411.0,1.0,1.0
beta_mu[12],-1.5,0.019,0.64,-2.6,-1.5,-0.44,1164.0,0.49,1.0
beta_mu[13],0.92,0.02,0.62,-0.081,0.91,1.9,971.0,0.41,1.0
beta_mu[14],-0.3,0.017,0.67,-1.4,-0.29,0.81,1508.0,0.63,1.0
beta_sigma[1],0.4,0.0057,0.32,0.043,0.33,1.0,3145.0,1.3,1.0
beta_sigma[2],0.29,0.0058,0.27,0.018,0.21,0.81,2160.0,0.9,1.0
beta_sigma[3],0.37,0.0062,0.32,0.032,0.29,1.0,2679.0,1.1,1.0
beta_sigma[4],0.38,0.0055,0.3,0.038,0.31,0.97,2994.0,1.3,1.0
beta_sigma[5],0.32,0.0062,0.29,0.021,0.24,0.88,2215.0,0.93,1.0
beta_sigma[6],0.47,0.0081,0.39,0.036,0.39,1.2,2302.0,0.96,1.0
beta_sigma[7],0.65,0.009,0.43,0.077,0.58,1.4,2275.0,0.95,1.0
beta_sigma[8],0.53,0.0094,0.4,0.051,0.44,1.3,1846.0,0.77,1.0
beta_sigma[9],0.6,0.0074,0.42,0.057,0.53,1.4,3290.0,1.4,1.0
beta_sigma[10],0.48,0.0083,0.39,0.037,0.39,1.3,2248.0,0.94,1.0
beta_sigma[11],1.2,0.0066,0.49,0.45,1.1,2.0,5437.0,2.3,1.0
beta_sigma[12],0.56,0.0089,0.45,0.038,0.46,1.4,2543.0,1.1,1.0
beta_sigma[13],0.38,0.0074,0.35,0.028,0.29,1.1,2169.0,0.91,1.0
beta_sigma[14],0.54,0.0097,0.43,0.033,0.44,1.4,1980.0,0.83,1.0
alpha[1],-0.68,0.02,0.78,-1.9,-0.69,0.63,1574.0,0.66,1.0
alpha[2],-1.4,0.024,0.86,-2.8,-1.3,0.003,1244.0,0.52,1.0
