name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta[1],0.16,0.00097,0.12,-0.039,0.16,0.37,16292.0,75.0,1.0
beta[2],0.081,0.00079,0.11,-0.099,0.082,0.26,19102.0,87.0,1.0
beta[3],-0.45,0.00087,0.12,-0.64,-0.45,-0.25,18740.0,86.0,1.0
beta[4],-0.12,0.00094,0.12,-0.32,-0.12,0.085,17508.0,80.0,1.0
beta[5],0.42,0.00093,0.12,0.21,0.42,0.63,17963.0,82.0,1.0
beta[6],1.3,0.0019,0.26,0.88,1.3,1.7,19246.0,88.0,1.0
beta[7],1.1,0.0019,0.26,0.68,1.1,1.5,19519.0,89.0,1.0
beta[8],0.91,0.0018,0.24,0.52,0.91,1.3,17855.0,82.0,1.0
beta[9],0.12,0.0062,0.54,-0.76,0.12,1.0,7607.0,35.0,1.0
beta[10],0.086,0.0063,0.56,-0.83,0.087,1.0,7893.0,36.0,1.0
beta[11],0.29,0.0062,0.55,-0.61,0.29,1.2,7880.0,36.0,1.0
beta[12],-0.19,0.0058,0.52,-1.0,-0.19,0.66,7949.0,36.0,1.0
beta[13],-0.063,0.0058,0.5,-0.88,-0.065,0.76,7498.0,34.0,1.0
beta[14],1.6,0.0057,0.49,0.77,1.6,2.4,7341.0,34.0,1.0
beta[15],0.21,0.006,0.56,-0.71,0.22,1.1,8648.0,40.0,1.0
beta[16],-1.0,0.0062,0.56,-2.0,-1.0,-0.089,8256.0,38.0,1.0
beta[17],1.4,0.0061,0.55,0.47,1.4,2.3,8090.0,37.0,1.0
beta[18],0.1,0.0061,0.6,-0.89,0.097,1.1,9702.0,44.0,1.0
alpha,-2.5,0.0,0.7,-3.7,-2.5,-1.3,8664.1,39.6,1.0
