name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
alpha_mu,-1.1,0.035,0.84,-2.4,-1.2,0.41,600.0,5.3,1.0
alpha_sigma,1.4,0.13,0.84,0.22,1.3,2.8,41.0,0.36,1.0
beta_mu[1],0.28,0.0087,0.32,-0.17,0.26,0.83,1334.0,12.0,1.0
beta_mu[2],0.16,0.02,0.28,-0.2,0.13,0.65,207.0,1.8,1.0
beta_mu[3],-0.25,0.0094,0.38,-0.75,-0.29,0.47,1649.0,15.0,1.0
beta_mu[4],-0.13,0.024,0.34,-0.59,-0.16,0.46,210.0,1.8,1.0
beta_mu[5],0.5,0.023,0.29,0.021,0.51,0.91,167.0,1.5,1.0
beta_mu[6],1.6,0.067,0.43,0.86,1.6,2.2,41.0,0.36,1.0
beta_mu[7],1.0,0.052,0.48,0.24,1.0,1.8,85.0,0.75,1.0
beta_mu[8],0.84,0.052,0.45,0.058,0.84,1.5,75.0,0.66,1.0
beta_mu[9],0.32,0.034,0.64,-0.78,0.4,1.4,360.0,3.2,1.0
beta_mu[10],0.42,0.076,0.69,-0.74,0.44,1.4,82.0,0.72,1.0
beta_mu[11],0.51,0.2,0.83,-0.81,0.45,2.0,17.0,0.15,1.1
beta_mu[12],-0.78,0.06,0.72,-1.9,-0.75,0.36,142.0,1.3,1.0
beta_mu[13],1.4,0.024,0.62,0.36,1.4,2.4,636.0,5.6,1.0
beta_mu[14],0.33,0.049,0.71,-0.97,0.41,1.5,211.0,1.9,1.0
beta_sigma[1],0.56,0.019,0.43,0.074,0.46,1.4,483.0,4.3,1.0
beta_sigma[2],0.42,0.0093,0.36,0.032,0.35,1.1,1462.0,13.0,1.0
beta_sigma[3],0.52,0.061,0.51,0.017,0.4,1.5,68.0,0.6,1.0
beta_sigma[4],0.53,0.011,0.41,0.076,0.42,1.4,1355.0,12.0,1.0
beta_sigma[5],0.43,0.012,0.38,0.05,0.35,1.2,934.0,8.2,1.0
beta_sigma[6],0.58,0.056,0.52,0.063,0.41,1.8,88.0,0.77,1.1
beta_sigma[7],0.86,0.025,0.49,0.17,0.83,1.8,381.0,3.4,1.0
beta_sigma[8],0.68,0.024,0.48,0.099,0.61,1.6,382.0,3.4,1.0
beta_sigma[9],0.9,0.072,0.59,0.12,0.81,2.0,69.0,0.61,1.0
beta_sigma[10],0.7,0.069,0.56,0.099,0.55,1.8,67.0,0.59,1.0
beta_sigma[11],1.5,0.05,0.61,0.59,1.5,2.5,149.0,1.3,1.0
beta_sigma[12],0.97,0.047,0.66,0.09,0.89,2.1,193.0,1.7,1.0
beta_sigma[13],0.58,0.033,0.5,0.074,0.43,1.6,225.0,2.0,1.0
beta_sigma[14],0.93,0.03,0.59,0.13,0.84,2.0,389.0,3.4,1.0
alpha[1],-1.7,0.23,0.98,-3.4,-1.7,-0.14,19.0,0.16,1.1
alpha[2],-2.7,0.29,1.2,-4.6,-2.6,-0.79,17.0,0.15,1.1
alpha[3],-2.3,0.11,1.0,-3.9,-2.4,-0.66,86.0,0.76,1.0
alpha[4],-2.1,0.14,1.1,-3.7,-2.1,-0.41,57.0,0.5,1.0
"beta[1,1]",0.065,0.02,0.17,-0.19,0.06,0.36,75.0,0.66,1.0
"beta[1,2]",0.08,0.005,0.14,-0.17,0.096,0.31,820.0,7.2,1.0
"beta[1,3]",-0.5,0.034,0.17,-0.79,-0.51,-0.24,25.0,0.22,1.1
"beta[1,4]",0.057,0.0051,0.16,-0.21,0.044,0.32,980.0,8.6,1.0
"beta[1,5]",0.51,0.021,0.16,0.27,0.49,0.78,56.0,0.49,1.0
"beta[1,6]",1.8,0.08,0.37,1.1,1.8,2.3,21.0,0.19,1.1
"beta[1,7]",1.6,0.026,0.41,0.93,1.6,2.3,253.0,2.2,1.0
"beta[1,8]",1.0,0.011,0.28,0.55,1.1,1.5,723.0,6.4,1.0
"beta[1,9]",0.47,0.12,0.78,-0.83,0.46,1.6,40.0,0.35,1.0
"beta[1,10]",0.085,0.14,0.8,-1.3,0.097,1.2,31.0,0.28,1.1
"beta[1,11]",1.1,0.12,0.82,-0.24,1.1,2.3,46.0,0.41,1.0
"beta[1,12]",-1.1,0.027,0.66,-2.1,-1.2,0.038,588.0,5.2,1.0
"beta[1,13]",1.4,0.02,0.64,0.34,1.4,2.4,996.0,8.8,1.0
"beta[1,14]",0.36,0.086,0.76,-0.89,0.39,1.5,78.0,0.68,1.0
"beta[2,1]",0.46,0.014,0.32,-0.0068,0.42,1.1,503.0,4.4,1.0
"beta[2,2]",0.35,0.022,0.3,-0.046,0.28,0.9,179.0,1.6,1.0
"beta[2,3]",-0.05,0.022,0.42,-0.6,-0.17,0.76,378.0,3.3,1.0
"beta[2,4]",-0.28,0.014,0.31,-0.81,-0.28,0.2,462.0,4.1,1.0
"beta[2,5]",0.61,0.095,0.38,0.043,0.56,1.2,16.0,0.14,1.1
"beta[2,6]",1.5,0.098,0.55,0.48,1.6,2.3,31.0,0.28,1.1
"beta[2,7]",0.92,0.16,0.7,-0.17,0.98,2.0,18.0,0.16,1.1
"beta[2,8]",0.73,0.014,0.53,-0.18,0.72,1.6,1444.0,13.0,1.0
"beta[2,9]",-0.19,0.099,0.88,-1.8,-0.089,0.96,79.0,0.7,1.0
"beta[2,10]",0.22,0.098,0.87,-1.3,0.28,1.4,80.0,0.7,1.0
"beta[2,11]",1.2,0.17,1.0,-0.55,1.2,2.6,39.0,0.34,1.0
"beta[2,12]",-1.6,0.17,0.93,-3.2,-1.5,-0.32,31.0,0.28,1.0
"beta[2,13]",1.4,0.02,0.74,0.16,1.5,2.6,1351.0,12.0,1.0
"beta[2,14]",0.59,0.22,1.1,-1.1,0.55,2.2,23.0,0.21,1.1
"beta[3,1]",0.32,0.016,0.23,-0.011,0.28,0.73,219.0,1.9,1.0
"beta[3,2]",0.089,0.0065,0.17,-0.2,0.079,0.37,692.0,6.1,1.0
