name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta[1],0.16,0.00097,0.12,-0.035,0.16,0.36,15973.0,280.0,1.0
beta[2],0.082,0.00082,0.11,-0.1,0.083,0.26,17985.0,315.0,1.0
beta[3],-0.45,0.00089,0.12,-0.64,-0.45,-0.26,16920.0,297.0,1.0
beta[4],-0.12,0.00097,0.13,-0.33,-0.12,0.083,16522.0,290.0,1.0
beta[5],0.42,0.00095,0.12,0.21,0.42,0.62,17142.0,301.0,1.0
beta[6],1.3,0.0019,0.26,0.86,1.3,1.7,18319.0,321.0,1.0
beta[7],1.1,0.0019,0.27,0.67,1.1,1.5,19212.0,337.0,1.0
beta[8],0.9,0.0018,0.24,0.51,0.9,1.3,17620.0,309.0,1.0
beta[9],-0.051,0.0063,0.54,-0.95,-0.051,0.84,7496.0,132.0,1.0
beta[10],-0.08,0.0064,0.56,-1.0,-0.084,0.83,7821.0,137.0,1.0
beta[11],0.13,0.0063,0.56,-0.8,0.13,1.0,7682.0,135.0,1.0
beta[12],-0.33,0.0058,0.52,-1.2,-0.34,0.51,8081.0,142.0,1.0
beta[13],-0.21,0.0056,0.5,-1.0,-0.21,0.62,7951.0,139.0,1.0
beta[14],1.4,0.0056,0.49,0.63,1.4,2.2,7676.0,135.0,1.0
beta[15],0.085,0.0058,0.56,-0.83,0.081,1.0,9235.0,162.0,1.0
beta[16],-1.2,0.0061,0.56,-2.1,-1.2,-0.26,8455.0,148.0,1.0
beta[17],1.2,0.006,0.55,0.32,1.2,2.1,8431.0,148.0,1.0
beta[18],-0.04,0.0061,0.6,-1.0,-0.035,0.94,9641.0,169.0,1.0
alpha,-2.0,0.0,0.7,-3.2,-2.0,-0.8,9051.4,158.8,1.0
