name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
alpha_mu,-1.1,0.0095,0.86,-2.4,-1.1,0.4,8200.0,6.7,1.0
alpha_sigma,1.4,0.034,0.86,0.18,1.3,3.0,630.0,0.52,1.0
beta_mu[1],0.28,0.0035,0.34,-0.21,0.25,0.87,9671.0,8.0,1.0
beta_mu[2],0.2,0.0037,0.29,-0.17,0.17,0.72,5937.0,4.9,1.0
beta_mu[3],-0.24,0.0048,0.4,-0.74,-0.31,0.5,6796.0,5.6,1.0
beta_mu[4],-0.1,0.0043,0.35,-0.61,-0.12,0.52,6456.0,5.3,1.0
beta_mu[5],0.47,0.0034,0.31,0.0036,0.46,0.96,8237.0,6.8,1.0
beta_mu[6],1.5,0.0046,0.43,0.79,1.5,2.2,8852.0,7.3,1.0
beta_mu[7],1.1,0.0047,0.48,0.24,1.1,1.8,10523.0,8.7,1.0
beta_mu[8],0.8,0.024,0.48,0.039,0.8,1.6,397.0,0.33,1.0
beta_mu[9],0.3,0.011,0.68,-0.81,0.3,1.4,3500.0,2.9,1.0
beta_mu[10],0.34,0.011,0.69,-0.78,0.34,1.5,4117.0,3.4,1.0
beta_mu[11],0.35,0.0098,0.74,-0.82,0.32,1.6,5623.0,4.6,1.0
beta_mu[12],-0.77,0.019,0.75,-1.9,-0.8,0.51,1525.0,1.3,1.0
beta_mu[13],1.4,0.015,0.67,0.33,1.4,2.5,1942.0,1.6,1.0
beta_mu[14],0.37,0.012,0.72,-0.8,0.37,1.6,3622.0,3.0,1.0
beta_sigma[1],0.54,0.0073,0.43,0.051,0.43,1.4,3485.0,2.9,1.0
beta_sigma[2],0.4,0.008,0.38,0.022,0.29,1.2,2251.0,1.9,1.0
beta_sigma[3],0.6,0.0083,0.49,0.057,0.47,1.6,3486.0,2.9,1.0
beta_sigma[4],0.54,0.0066,0.43,0.066,0.43,1.4,4287.0,3.5,1.0
beta_sigma[5],0.44,0.0076,0.41,0.029,0.32,1.3,2849.0,2.3,1.0
beta_sigma[6],0.59,0.0082,0.48,0.056,0.49,1.5,3425.0,2.8,1.0
beta_sigma[7],0.84,0.0077,0.51,0.16,0.75,1.8,4423.0,3.6,1.0
beta_sigma[8],0.67,0.0083,0.5,0.076,0.57,1.7,3602.0,3.0,1.0
beta_sigma[9],0.83,0.01,0.57,0.084,0.73,1.9,3064.0,2.5,1.0
beta_sigma[10],0.8,0.0099,0.56,0.081,0.7,1.9,3185.0,2.6,1.0
beta_sigma[11],1.4,0.0068,0.6,0.53,1.4,2.5,7938.0,6.5,1.0
beta_sigma[12],0.95,0.011,0.68,0.087,0.81,2.2,3706.0,3.0,1.0
beta_sigma[13],0.61,0.0081,0.49,0.05,0.49,1.6,3630.0,3.0,1.0
beta_sigma[14],0.86,0.012,0.61,0.078,0.76,2.0,2658.0,2.2,1.0
alpha[1],-1.6,0.019,0.94,-3.1,-1.5,-0.071,2441.0,2.0,1.0
alpha[2],-2.5,0.03,1.2,-4.5,-2.4,-0.74,1556.0,1.3,1.0
alpha[3],-2.3,0.031,1.1,-4.1,-2.2,-0.63,1147.0,0.94,1.0
alpha[4],-2.1,0.021,1.1,-4.1,-2.0,-0.41,2887.0,2.4,1.0
"beta[1,1]",0.073,0.0016,0.16,-0.2,0.078,0.34,10607.0,8.7,1.0
"beta[1,2]",0.074,0.0015,0.15,-0.17,0.075,0.32,9793.0,8.1,1.0
"beta[1,3]",-0.54,0.0013,0.15,-0.8,-0.54,-0.29,13821.0,11.0,1.0
"beta[1,4]",0.055,0.0051,0.17,-0.24,0.055,0.34,1173.0,0.96,1.0
"beta[1,5]",0.52,0.0015,0.17,0.25,0.51,0.8,12163.0,10.0,1.0
"beta[1,6]",1.7,0.0031,0.34,1.2,1.7,2.3,12173.0,10.0,1.0
"beta[1,7]",1.6,0.004,0.42,0.92,1.5,2.3,10934.0,9.0,1.0
"beta[1,8]",1.0,0.014,0.32,0.54,1.0,1.6,523.0,0.43,1.0
"beta[1,9]",0.31,0.012,0.72,-0.87,0.3,1.5,3445.0,2.8,1.0
"beta[1,10]",-0.083,0.018,0.76,-1.3,-0.065,1.1,1883.0,1.5,1.0
"beta[1,11]",0.95,0.013,0.77,-0.31,0.95,2.2,3771.0,3.1,1.0
"beta[1,12]",-0.99,0.021,0.73,-2.2,-0.99,0.3,1241.0,1.0,1.0
"beta[1,13]",1.4,0.014,0.7,0.3,1.4,2.6,2367.0,1.9,1.0
"beta[1,14]",0.33,0.014,0.78,-0.94,0.33,1.6,2965.0,2.4,1.0
"beta[2,1]",0.48,0.0045,0.34,-0.0015,0.44,1.1,5814.0,4.8,1.0
"beta[2,2]",0.36,0.0061,0.31,-0.061,0.31,0.93,2625.0,2.2,1.0
"beta[2,3]",-0.0098,0.006,0.45,-0.63,-0.067,0.8,5603.0,4.6,1.0
"beta[2,4]",-0.27,0.0036,0.33,-0.84,-0.24,0.23,8171.0,6.7,1.0
"beta[2,5]",0.54,0.0033,0.34,0.018,0.51,1.1,10311.0,8.5,1.0
"beta[2,6]",1.5,0.005,0.51,0.63,1.5,2.3,10355.0,8.5,1.0
"beta[2,7]",1.0,0.0058,0.64,-0.03,1.0,2.1,12102.0,9.9,1.0
"beta[2,8]",0.76,0.02,0.6,-0.25,0.78,1.8,902.0,0.74,1.0
"beta[2,9]",-0.34,0.029,0.92,-2.0,-0.29,1.1,974.0,0.8,1.0
"beta[2,10]",0.11,0.014,0.89,-1.4,0.13,1.5,3911.0,3.2,1.0
"beta[2,11]",0.94,0.036,1.0,-0.78,0.94,2.6,804.0,0.66,1.0
"beta[2,12]",-1.7,0.018,0.95,-3.3,-1.6,-0.24,2812.0,2.3,1.0
"beta[2,13]",1.4,0.016,0.81,0.073,1.4,2.8,2748.0,2.3,1.0
"beta[2,14]",0.48,0.015,1.0,-1.1,0.49,2.2,4556.0,3.7,1.0
"beta[3,1]",0.33,0.0026,0.24,-0.04,0.32,0.76,8598.0,7.1,1.0
"beta[3,2]",0.091,0.0016,0.18,-0.21,0.094,0.38,12076.0,9.9,1.0
"beta[3,3]",-0.39,0.0025,0.22,-0.74,-0.39,-0.031,7709.0,6.3,1.0
"beta[3,4]",-0.33,0.0061,0.27,-0.77,-0.32,0.084,1894.0,1.6,1.0
"beta[3,5]",0.43,0.002,0.22,0.068,0.44,0.79,11456.0,9.4,1.0
"beta[3,6]",1.4,0.0051,0.44,0.7,1.5,2.1,7188.0,5.9,1.0
"beta[3,7]",0.59,0.0052,0.51,-0.29,0.61,1.4,9602.0,7.9,1.0
"beta[3,8]",0.68,0.0069,0.43,-0.054,0.71,1.3,3787.0,3.1,1.0
"beta[3,9]",0.08,0.014,0.79,-1.2,0.082,1.4,3358.0,2.8,1.0
