name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
beta[1],0.16,0.00093,0.12,-0.041,0.16,0.37,17602.0,55.0,1.0
beta[2],0.083,0.00079,0.11,-0.1,0.083,0.27,19473.0,61.0,1.0
beta[3],-0.45,0.00086,0.12,-0.65,-0.45,-0.26,18822.0,59.0,1.0
beta[4],-0.12,0.00093,0.13,-0.32,-0.12,0.086,18133.0,57.0,1.0
beta[5],0.42,0.00096,0.13,0.21,0.42,0.63,17394.0,55.0,1.0
beta[6],1.3,0.002,0.26,0.85,1.3,1.7,16923.0,53.0,1.0
beta[7],1.1,0.0019,0.26,0.67,1.1,1.5,18440.0,58.0,1.0
beta[8],0.9,0.0016,0.24,0.5,0.9,1.3,22064.0,69.0,1.0
beta[9],-0.047,0.0063,0.55,-0.95,-0.043,0.84,7462.0,23.0,1.0
beta[10],-0.075,0.0065,0.57,-1.0,-0.07,0.86,7727.0,24.0,1.0
beta[11],0.13,0.0064,0.56,-0.8,0.13,1.0,7531.0,24.0,1.0
beta[12],-0.33,0.0065,0.53,-1.2,-0.33,0.54,6531.0,20.0,1.0
beta[13],-0.2,0.0066,0.51,-1.0,-0.2,0.64,6009.0,19.0,1.0
beta[14],1.4,0.0065,0.5,0.63,1.4,2.3,5900.0,18.0,1.0
beta[15],0.098,0.0066,0.56,-0.82,0.099,1.0,7208.0,23.0,1.0
beta[16],-1.2,0.0066,0.56,-2.1,-1.2,-0.27,7104.0,22.0,1.0
beta[17],1.2,0.0065,0.55,0.31,1.2,2.1,7172.0,22.0,1.0
beta[18],-0.052,0.0066,0.6,-1.0,-0.048,0.93,8213.0,26.0,1.0
alpha,-2.0,0.0,0.7,-3.2,-2.0,-0.8,7538.5,23.6,1.0
